!SIL 1.0	sil
<UNK> 1.0	spn
शिवराम 1.0	sh i w r aa m
पोको 1.0	p oo k oo
प्रबन्धक 1.0	p r b a n dh a k
जर्जर 1.0	j a r j a r
नेजया 1.0	n ee j y aa
महूबब 1.0	m a h uu b a b
ताराकुंड 1.0	t aa r aa k u q dx
सस्पेंशन 1.0	s a s p ee q sh a n
नामित 1.0	n aa m i t
कंटेस्टेंट्स 1.0	k a q tx ee s tx ee q tx s
मड़ई 1.0	m a dxq a ii
धारापुर 1.0	dh aa r aa p u r
वेग 1.0	w ee g
कार्यपालन 1.0	k aa r y a p aa l a n
बिछाकर 1.0	b i ch aa k a r
एवेरेस्ट 1.0	ee w ee r ee s tx
लानकास्टर 1.0	l aa n k aa s tx a r
आश्वासनों 1.0	aa sh w aa s n oo q
एनिमेटेड 1.0	ee n i m ee tx ee dx
गन्दगी 1.0	g a n d a g ii
जसजस 1.0	j a s j a s
बहबल 1.0	b a h b a l
स्प्रिंग 1.0	s p r i q g
लुहारी 1.0	l u h aa r ii
बीएचयू 1.0	b ii ee c y uu
प्रायद्वीप 1.0	p r aa y a d w ii p
उतारेंगें 1.0	u t aa r ee q g ee q
बहूएं 1.0	b a h uu ee q
हसना 1.0	h a s n aa
फ्रूटी 1.0	ph r uu tx ii
शिकायतों 1.0	sh i k aa y t oo q
वीकेंड 1.0	w ii k ee q dx
हरदेव 1.0	h a r d ee w
पॉलीफोनी 1.0	p ax l ii ph oo n ii
हडिडयां 1.0	h a dx i dx y aa q
लंगूरों 1.0	l a q g uu r oo q
झिड़की 1.0	jh i dxq k ii
वरना 1.0	w a r n aa
औवट 1.0	ou w a tx
नवगठित 1.0	n a w g a txh i t
वांकर 1.0	w aa q k a r
क़बीलों 1.0	kq a b ii l oo q
मुंहपिघलने 1.0	m u q h a p i gh a l n ee
टास्क 1.0	tx aa s k
अखण्ड 1.0	a kh a nx dx
करेक्टर्स 1.0	k a r ee k tx a r s
महंगाई 1.0	m a h a q g aa ii
मँहगी 1.0	m a mq h a g ii
प्रगति 1.0	p r g a t i
चार्ज 1.0	c aa r j
छाई 1.0	ch aa ii
अंग्रेज़ 1.0	a q g r ee z
तूतीकोरन 1.0	t uu t ii k oo r a n
नाइट्रिक 1.0	n aa i tx r i k
पहचानें 1.0	p a h c aa n ee q
टनल्स 1.0	tx a n a l s
उज्जैयनी 1.0	u j j ei y n ii
डिवीजन 1.0	dx i w ii j a n
अश्वरत्न 1.0	a sh w a r a t n
शहबान 1.0	sh a h b aa n
चतुरंगी 1.0	c a t u r a q g ii
महत्वपूर्ण 1.0	m a h a t w a p uu r nx
कोताही 1.0	k oo t aa h ii
डोप 1.0	dx oo p
डेयरियां 1.0	dx ee y r i y aa q
सुमेधा 1.0	s u m ee dh aa
चमचे 1.0	c a m c ee
कमोडोर 1.0	k a m oo dx oo r
रेजीमेंटल 1.0	r ee j ii m ee q tx a l
एनआईए 1.0	ee n a aa ii ee
पुस्तकाकार 1.0	p u s t a k aa k aa r
घटते 1.0	gh a tx t ee
ट्वेन 1.0	tx w ee n
मोर्टेंसन 1.0	m oo r tx ee q s a n
गब्बू 1.0	g a b b uu
ओडीएफ 1.0	oo dx ii ee ph
पीसती 1.0	p ii s t ii
यिरत 1.0	y i r a t
कालान्तर 1.0	k aa l aa n t a r
मिलेगें 1.0	m i l ee g ee q
किंबरले 1.0	k i q b a r l ee
एरॉन 1.0	ee r ax n
उंची 1.0	u q c ii
गूफी 1.0	g uu ph ii
संस्थापकों 1.0	s a q s th aa p k oo q
रियासतें 1.0	r i y aa s t ee q
ब्रांड्स 1.0	b r aa q dx s
वार्मिंग 1.0	w aa r m i q g
होलिका 1.0	h oo l i k aa
वहांसे 1.0	w a h aa q s ee
डिघी 1.0	dx i gh ii
न्यूरोलोजिकल 1.0	n y uu r oo l oo j i k a l
ईवेंट्स 1.0	ii w ee q tx s
यथार्थवादी 1.0	y a th aa r th a w aa d ii
सांबा 1.0	s aa q b aa
कांफ्रेंसिग 1.0	k aa q ph r ee q s i g
सर्जन 1.0	s a r j a n
दिलाये 1.0	d i l aa y ee
ट्रांजैक्शन 1.0	tx r aa q j ei k sh a n
दरिंदो 1.0	d a r i q d oo
काडर 1.0	k aa dx a r
कृपा 1.0	k rq p aa
हावर्थ 1.0	h aa w a r th
रेमन 1.0	r ee m a n
भोज 1.0	bh oo j
सोसायटी 1.0	s oo s aa y tx ii
बाँधना 1.0	b aa mq dh a n aa
खूंखार 1.0	kh uu q kh aa r
अबुधाबी 1.0	a b u dh aa b ii
भानुभक्त 1.0	bh aa n u bh a k t
अविरोधवाद 1.0	a w i r oo dh w aa d
बलुईदुमटमिट्टीजो 1.0	b a l u ii d u m tx a m i tx tx ii j oo
केबल 1.0	k ee b a l
पेंशनधारकों 1.0	p ee q sh a n dh aa r k oo q
रिफॉर्म 1.0	r i ph ax r m
समितियां 1.0	s a m i t i y aa q
इराकी 1.0	i r aa k ii
तबलावादक 1.0	t a b l aa w aa d a k
चौंतालीस 1.0	c ou q t aa l ii s
रेकटस 1.0	r ee k tx a s
फ़िल्मे 1.0	f i l m ee
शाहरुख 1.0	sh aa h r u kh
एचयूएल 1.0	ee c y uu ee l
ताऊ 1.0	t aa uu
दरयानी 1.0	d a r y aa n ii
हर्डर्स 1.0	h a r dx a r s
खरीज 1.0	kh a r ii j
ग्रेट 1.0	g r ee tx
आनंदीबेन 1.0	aa n a q d ii b ee n
नायक 1.0	n aa y a k
सुज़ननिकी 1.0	s u z n a n i k ii
अखिल 1.0	a kh i l
अपराधी 1.0	a p r aa dh ii
प्रान्तीयविश्वविद्यालय 1.0	p r aa n t ii y w i sh w a w i d y aa l a y
पटाखा 1.0	p a tx aa kh aa
प्रिज़कर 1.0	p r i z k a r
टेंपरिंग 1.0	tx ee q p a r i q g
डायवोर्स 1.0	dx aa y w oo r s
कामन 1.0	k aa m a n
वलायरल 1.0	w a l aa y r a l
ओहदों 1.0	oo h d oo q
अगुवाई 1.0	a g u w aa ii
गप्पे 1.0	g a p p ee
किरदार 1.0	k i r d aa r
टिंचर 1.0	tx i q c a r
बर्नेट 1.0	b a r n ee tx
इज़राइल 1.0	i z r aa i l
बावरियों 1.0	b aa w r i y oo q
जलपरी 1.0	j a l p a r ii
अधिकसेअधिक 1.0	a dh i k s ee a dh i k
भुल्लर 1.0	bh u l l a r
सिद्दरमैया 1.0	s i d d a r m ei y aa
गमछा 1.0	g a m ch aa
पूर्णतः 1.0	p uu r nx a t a hq
कारणवश 1.0	k aa r nx a w a sh
अकाज 1.0	a k aa j
मुक्त 1.0	m u k t
स्नेहन 1.0	s n ee h a n
अकाट्य 1.0	a k aa tx y
सिलीनियम 1.0	s i l ii n i y a m
बॉलिवुड 1.0	b ax l i w u dx
अमेलिया 1.0	a m ee l i y aa
पेनसिल्वेनिया 1.0	p ee n s i l w ee n i y aa
हरिद्वार 1.0	h a r i d w aa r
वसूले 1.0	w a s uu l ee
केपिटल 1.0	k ee p i tx a l
राज्यवार 1.0	r aa j y a w aa r
अंबुड्समान 1.0	a q b u dx s a m aa n
बाथर्स्ट 1.0	b aa th a r s tx
आवक 1.0	aa w a k
गोर 1.0	g oo r
केस 1.0	k ee s
सत्यव्रत 1.0	s a t y a w r a t
अहियापुर 1.0	a h i y aa p u r
उम्मीदावारों 1.0	u m m ii d aa w aa r oo q
खस्ताहाल 1.0	kh a s t aa h aa l
प्रशासनव्यवस्था 1.0	p r sh aa s n a w y a w a s th aa
संधारण 1.0	s a q dh aa r a nx
अलअता 1.0	a l a a t aa
बहुत 1.0	b a h u t
हाईस्कूल 1.0	h aa ii s k uu l
ढालना 1.0	dxh aa l n aa
लिखी 1.0	l i kh ii
फ़ार्सी 1.0	f aa r s ii
ठसकेदार 1.0	txh a s k ee d aa r
चढरया 1.0	c a dxh a r y aa
बोइस 1.0	b oo i s
शैलों 1.0	sh ei l oo q
दफनाए 1.0	d a ph n aa ee
भनक 1.0	bh a n a k
मेंबरशिप 1.0	m ee q b a r sh i p
गंडी 1.0	g a q dx ii
महापद्मा 1.0	m a h aa p a d m aa
मधु 1.0	m a dh u
लेना 1.0	l ee n aa
आंदोलन 1.0	aa q d oo l a n
नजारे 1.0	n a j aa r ee
नॉन 1.0	n ax n
मीम 1.0	m ii m
महारत 1.0	m a h aa r a t
कहकशां 1.0	k a h k a sh aa q
दंतचिकित्सक 1.0	d a q t a c i k i t s a k
सैमुअल 1.0	s ei m u a l
कोशा 1.0	k oo sh aa
निर्दलियों 1.0	n i r d a l i y oo q
लहराता 1.0	l a h r aa t aa
अक्सर 1.0	a k s a r
हालांकी 1.0	h aa l aa q k ii
शैनन 1.0	sh ei n a n
ट्रायल 1.0	tx r aa y a l
जंगशेर 1.0	j a q g a sh ee r
पक्षकार 1.0	p a k sx a k aa r
अतिह्रस्व 1.0	a t i h r a s w
ग़जलों 1.0	gq a j l oo q
स्टेट्स 1.0	s tx ee tx s
सैनानी 1.0	s ei n aa n ii
राजाबाबू 1.0	r aa j aa b aa b uu
सेल्सियस 1.0	s ee l s i y a s
संयोग 1.0	s a q y oo g
शलभ 1.0	sh a l a bh
भिण्ड 1.0	bh i nx dx
विस्ता 1.0	w i s t aa
सांसे 1.0	s aa q s ee
पांटुलु 1.0	p aa q tx u l u
पैचवॉल 1.0	p ei c w ax l
बतख 1.0	b a t a kh
नारायणगढ़ 1.0	n aa r aa y a nx g a dxhq
घवल 1.0	gh a w a l
रसदार 1.0	r a s d aa r
सतसई 1.0	s a t s a ii
यूनिफाॅर्म 1.0	y uu n i ph aa ae r m
बाजों 1.0	b aa j oo q
अनुदैर्घ्य 1.0	a n u d ei r gh y
गिरफ्तारी 1.0	g i r a ph t aa r ii
बढ़ाया 1.0	b a dxhq aa y aa
हिस्ता 1.0	h i s t aa
ओस्मानिया 1.0	oo s m aa n i y aa
पार्टियों 1.0	p aa r tx i y oo q
आकृति 1.0	aa k rq t i
वाचन 1.0	w aa c a n
डसने 1.0	dx a s n ee
एनडब्ल्यू 1.0	ee n dx a b l y uu
दरबारमेंं 1.0	d a r b aa r m ee q q
बेरमो 1.0	b ee r m oo
चक्रवात 1.0	c a k r a w aa t
तत्सम 1.0	t a t s a m
रिज़ॉर्ट 1.0	r i z ax r tx
हैण्डपंप 1.0	h ei nx dx a p a q p
डॉन 1.0	dx ax n
ड्रामों 1.0	dx r aa m oo q
सुनागावा 1.0	s u n aa g aa w aa
रंगबिरंगी 1.0	r a q g a b i r a q g ii
प्रेक्षण 1.0	p r ee k sx a nx
हरियाणाके 1.0	h a r i y aa nx aa k ee
कवर 1.0	k a w a r
स्टेप्स 1.0	s tx ee p s
नवकारमंत्र 1.0	n a w k aa r m a q t r
कूदते 1.0	k uu d t ee
गोगलापुर 1.0	g oo g l aa p u r
कैमरून 1.0	k ei m r uu n
एलाइजा 1.0	ee l aa i j aa
गुलदस्ता 1.0	g u l d a s t aa
औरंगाबाद 1.0	ou r a q g aa b aa d
मट्ठा 1.0	m a tx txh aa
आईसीएआरडीए 1.0	aa ii s ii ee aa r dx ii ee
अडानी 1.0	a dx aa n ii
केएमपी 1.0	k ee ee m p ii
सदुपयोग 1.0	s a d u p y oo g
लोकोपकारी 1.0	l oo k oo p k aa r ii
अमोघ 1.0	a m oo gh
किहाल 1.0	k i h aa l
घिसने 1.0	gh i s n ee
कर्मीय 1.0	k a r m ii y
कमलनैन 1.0	k a m a l n ei n
द्यूज 1.0	d y uu j
आवभगत 1.0	aa w a bh g a t
सप्लाई 1.0	s a p l aa ii
केजीपी 1.0	k ee j ii p ii
सुहास 1.0	s u h aa s
ऋणाग्र 1.0	rq nx aa g r
तसरिंग 1.0	t a s r i q g
उन्माद 1.0	u n m aa d
लगाएँ 1.0	l a g aa ee mq
सील्ड 1.0	s ii l dx
मिलयला 1.0	m i l y a l aa
नकुल 1.0	n a k u l
ओपनर 1.0	oo p n a r
कोरम 1.0	k oo r a m
निम्नघनत्व 1.0	n i m n a gh a n a t w
न्यूरोन 1.0	n y uu r oo n
सौरदीपों 1.0	s ou r d ii p oo q
मणिबन्ध 1.0	m a nx i b a n dh
सांझी 1.0	s aa q jh ii
खाजागुड़ा 1.0	kh aa j aa g u dxq aa
विश्चिघालय 1.0	w i sh c i gh aa l a y
बेसनगर 1.0	b ee s a n g a r
फुर्सोव 1.0	ph u r s oo w
वरूण 1.0	w a r uu nx
बेफ्रिक 1.0	b ee ph r i k
श्रद्धलाओं 1.0	sh r a d dh a l aa oo q
थर्मोमीटर 1.0	th a r m oo m ii tx a r
गोटमार 1.0	g oo tx m aa r
सचेतक 1.0	s a c ee t a k
तीव्रगामी 1.0	t ii w r a g aa m ii
पूर्वजन्मों 1.0	p uu r w a j a n m oo q
गूथे 1.0	g uu th ee
बची 1.0	b a c ii
व्यस्तता 1.0	w y a s t a t aa
ध्वजारोहण 1.0	dh w j aa r oo h a nx
बंदरगाह 1.0	b a q d a r g aa h
सत्ताओं 1.0	s a t t aa oo q
माँ 1.0	m aa mq
खोत 1.0	kh oo t
धोधो 1.0	dh oo dh oo
लिपि 1.0	l i p i
रेनडियर 1.0	r ee n dx i y a r
फ्रेम 1.0	ph r ee m
ठोकने 1.0	txh oo k n ee
चने 1.0	c a n ee
अनुसारवह 1.0	a n u s aa r w a h
भिंडी 1.0	bh i q dx ii
हार्ले 1.0	h aa r l ee
शस्त्राघात 1.0	sh a s t r aa gh aa t
बहुल 1.0	b a h u l
सीमाई 1.0	s ii m aa ii
लेेने 1.0	l ee ee n ee
तपेन्द्र 1.0	t a p ee n d r
ईसीजी 1.0	ii s ii j ii
थामन 1.0	th aa m a n
सोम्य 1.0	s oo m y
मूत्रमें 1.0	m uu t r a m ee q
नजूल 1.0	n a j uu l
कलबुर्गी 1.0	k a l b u r g ii
लालकृत 1.0	l aa l k rq t
काठगोदाम 1.0	k aa txh g oo d aa m
सलवार 1.0	s a l w aa r
विबिंग 1.0	w i b i q g
शाओमेंग 1.0	sh aa oo m ee q g
बंधन 1.0	b a q dh a n
हाल्वार्ड 1.0	h aa l w aa r dx
मिलन 1.0	m i l a n
आजका 1.0	aa j k aa
एलकेपीएच 1.0	ee l k ee p ii ee c
दर्जन 1.0	d a r j a n
हेमिया 1.0	h ee m i y aa
खदेड 1.0	kh a d ee dx
सिक्किम 1.0	s i k k i m
मानसी 1.0	m aa n s ii
स्नान 1.0	s n aa n
कड़ाके 1.0	k a dxq aa k ee
बैरंग 1.0	b ei r a q g
पुर्तगालियों 1.0	p u r t a g aa l i y oo q
श्रेष्ठ 1.0	sh r ee sx txh
सूर्यदेव 1.0	s uu r y a d ee w
ठाठ 1.0	txh aa txh
ट्रैकसूट 1.0	tx r ei k s uu tx
वैलेंटिनो 1.0	w ei l ee q tx i n oo
कर्इ 1.0	k a r i
हल्बाओं 1.0	h a l b aa oo q
नेक्रोटिक 1.0	n ee k r oo tx i k
दयानंद 1.0	d a y aa n a q d
पेनफुल 1.0	p ee n ph u l
च्रक 1.0	c r a k
रखवाकर 1.0	r a kh w aa k a r
ऊधमपुर 1.0	uu dh a m p u r
बदली 1.0	b a d l ii
क्योटो 1.0	k y oo tx oo
बाह्य 1.0	b aa h y
धनुर्विद्या 1.0	dh a n u r w i d y aa
अयोग्यता 1.0	a y oo g y a t aa
श्रीपादाराय 1.0	sh r ii p aa d aa r aa y
औदार्य 1.0	ou d aa r y
डिल 1.0	dx i l
नाकारात्मक 1.0	n aa k aa r aa t m a k
उम्मेद 1.0	u m m ee d
सत्यपीठ 1.0	s a t y a p ii txh
तनख्वाह 1.0	t a n a kh w aa h
जेफरी 1.0	j ee ph r ii
पुष्टिकरण 1.0	p u sx tx i k r a nx
गंजिफा 1.0	g a q j i ph aa
संता 1.0	s a q t aa
श्रीतत्त्वचिन्तामणि 1.0	sh r ii t a t t w a c i n t aa m nx i
पेंग 1.0	p ee q g
अवकल 1.0	a w k a l
रोजर्स 1.0	r oo j a r s
भरथरी 1.0	bh a r th a r ii
गूंथते 1.0	g uu q th a t ee
डब्ल्यूडब्ल्यूई 1.0	dx a b l y uu dx a b l y uu ii
परिभागो 1.0	p a r i bh aa g oo
आइवाज़ियन 1.0	aa i w aa z i y a n
पन्ने 1.0	p a n n ee
चौकीतख्त 1.0	c ou k ii t a kh t
बांड 1.0	b aa q dx
जलपाईगुड़ी 1.0	j a l p aa ii g u dxq ii
सतारा 1.0	s a t aa r aa
होमियोपैथी 1.0	h oo m i y oo p ei th ii
बरतना 1.0	b a r t a n aa
शारलिन 1.0	sh aa r l i n
लतपत 1.0	l a t p a t
म्यूनिख 1.0	m y uu n i kh
पहनकर 1.0	p a h a n k a r
गुणवत्तापूर्ण 1.0	g u nx w a t t aa p uu r nx
साक्षात 1.0	s aa k sx aa t
चिन्मयानंद 1.0	c i n m a y aa n a q d
अंसारी 1.0	a q s aa r ii
प्राणिमात्र 1.0	p r aa nx i m aa t r
खड़े 1.0	kh a dxq ee
कालेजों 1.0	k aa l ee j oo q
कर्मकांड 1.0	k a r m a k aa q dx
मंडेला 1.0	m a q dx ee l aa
पटकथाएँ 1.0	p a tx k a th aa ee mq
बेतवा 1.0	b ee t w aa
लगायत 1.0	l a g aa y a t
ठंढे 1.0	txh a q dxh ee
वॉल्टर 1.0	w ax l tx a r
कमसे 1.0	k a m s ee
प्रॉडक्ट 1.0	p r ax dx a k tx
मृत 1.0	m rq t
हबै 1.0	h a b ei
नेटफ्लिक्स 1.0	n ee tx a ph l i k s
भावनाएँ 1.0	bh aa w n aa ee mq
शेट्टी 1.0	sh ee tx tx ii
स्वान 1.0	s w aa n
प्रोटोकॉल 1.0	p r oo tx oo k ax l
विज्ञापनदाताओं 1.0	w i j nj aa p a n d aa t aa oo q
समाजशास्त्रीय 1.0	s a m aa j sh aa s t r ii y
रिकॉर्ड्स 1.0	r i k ax r dx s
लौह 1.0	l ou h
एवरोइज्म 1.0	ee w r oo i j m
बमलेश्वरी 1.0	b a m l ee sh w a r ii
रेणु 1.0	r ee nx u
ओलिवर 1.0	oo l i w a r
आनुवंशिक 1.0	aa n u w a q sh i k
बहुलांश 1.0	b a h u l aa q sh
परम्परया 1.0	p a r a m p a r a y aa
बनाया 1.0	b a n aa y aa
तम्बाकू 1.0	t a m b aa k uu
अविद्या 1.0	a w i d y aa
सदाशिव 1.0	s a d aa sh i w
अछूती 1.0	a ch uu t ii
ओएसडी 1.0	oo ee s dx ii
फ्रेन्च 1.0	ph r ee n c
हाेती 1.0	h aa ee t ii
सुलभ 1.0	s u l a bh
मैथ्यूज 1.0	m ei th y uu j
मोटूपतलूघसीटा 1.0	m oo tx uu p t a l uu gh s ii tx aa
रतनगढ़ 1.0	r a t a n g a dxhq
देगी 1.0	d ee g ii
बुंडू 1.0	b u q dx uu
गौरी 1.0	g ou r ii
व्लादिमिर 1.0	w l aa d i m i r
नेचुरोपैथी 1.0	n ee c u r oo p ei th ii
इलाज 1.0	i l aa j
आपलोग 1.0	aa p l oo g
ग़ौर 1.0	gq ou r
पत्निया 1.0	p a t n i y aa
फ़ैमिली 1.0	f ei m i l ii
विपणन 1.0	w i p nx a n
गृहस्वामिनी 1.0	g rq h a s w aa m i n ii
मंजुला 1.0	m a q j u l aa
पृष्ठीय 1.0	p rq sx txh ii y
सोंगुन 1.0	s oo q g u n
कांडला 1.0	k aa q dx a l aa
भिवापुर 1.0	bh i w aa p u r
बीएसडी 1.0	b ii ee s dx ii
लोगोंकी 1.0	l oo g oo q k ii
युद्धविराम 1.0	y u d dh a w i r aa m
कपड़ा 1.0	k a p dxq aa
लिट् 1.0	l i tx
फतह 1.0	ph a t a h
इगोर 1.0	i g oo r
सिद्धियों 1.0	s i d dh i y oo q
वाहनोंं 1.0	w aa h n oo q q
उक्रेन 1.0	u k r ee n
अकस्मात् 1.0	a k a s m aa t
दलहन 1.0	d a l h a n
कंप्रेशनर 1.0	k a q p r ee sh n a r
गुप्तकाशी 1.0	g u p t a k aa sh ii
लोंगोरिया 1.0	l oo q g oo r i y aa
स्टैरी 1.0	s tx ei r ii
त्रिज्या 1.0	t r i j y aa
निरंकुश 1.0	n i r a q k u sh
खिंचवाया 1.0	kh i q c a w aa y aa
देखेंगे 1.0	d ee kh ee q g ee
टिड्डे 1.0	tx i dx dx ee
रूकवा 1.0	r uu k w aa
परिनीति 1.0	p a r i n ii t i
सीबीसी 1.0	s ii b ii s ii
पिलाकर 1.0	p i l aa k a r
सहस्त्रों 1.0	s a h a s t r oo q
टुकड़ो 1.0	tx u k dxq oo
एडिशनल 1.0	ee dx i sh n a l
बचाएंगी 1.0	b a c aa ee q g ii
कूडे़ 1.0	k uu dx ee nk
धृतकुमारी 1.0	dh rq t k u m aa r ii
यूरी 1.0	y uu r ii
नारदपुराण 1.0	n aa r d a p u r aa nx
सीवोटर 1.0	s ii w oo tx a r
बौद्धदर्शन 1.0	b ou d dh a d a r sh a n
दाना 1.0	d aa n aa
सोबिनोव 1.0	s oo b i n oo w
असोसिएशन 1.0	a s oo s i ee sh a n
शातवाहन 1.0	sh aa t w aa h a n
सरस्वतीचन्द्र 1.0	s a r a s w a t ii c a n d r
कीमतें 1.0	k ii m t ee q
फन्तासी 1.0	ph a n t aa s ii
सुविधापूर्वक 1.0	s u w i dh aa p uu r w a k
बांधा 1.0	b aa q dh aa
अमादलपुर 1.0	a m aa d a l p u r
लॉस 1.0	l ax s
ईलाज 1.0	ii l aa j
साफसाफ 1.0	s aa ph s aa ph
पसोपेश 1.0	p a s oo p ee sh
फॉकनर 1.0	ph ax k n a r
तृणावर्त 1.0	t rq nx aa w a r t
पुनःविचार 1.0	p u n a hq w i c aa r
कमरलाइन 1.0	k a m r a l aa i n
लक्ष्यसे 1.0	l a k sx y a s ee
हाइबरनेशन 1.0	h aa i b a r n ee sh a n
ढूंढता 1.0	dxh uu q dxh a t aa
प्रायोरिटी 1.0	p r aa y oo r i tx ii
इसरारनामा 1.0	i s r aa r n aa m aa
लपकवाया 1.0	l a p k a w aa y aa
ज़्र्रुरी 1.0	z r r u r ii
कूदीं 1.0	k uu d ii q
अंधकार 1.0	a q dh a k aa r
स्वभावदोषों 1.0	s w bh aa w d oo sx oo q
सार्वत्रिक 1.0	s aa r w a t r i k
लके 1.0	l a k ee
छुटपुट 1.0	ch u tx p u tx
बोते 1.0	b oo t ee
धनगर 1.0	dh a n g a r
एडिड 1.0	ee dx i dx
खैबर 1.0	kh ei b a r
रामफल 1.0	r aa m ph a l
श्रीबाबू 1.0	sh r ii b aa b uu
जितोई 1.0	j i t oo ii
कैप्सूलों 1.0	k ei p s uu l oo q
मिश्ती 1.0	m i sh t ii
डॉकटर 1.0	dx ax k tx a r
अनस्तासिया 1.0	a n a s t aa s i y aa
आतंकवादी 1.0	aa t a q k a w aa d ii
मयूरी 1.0	m a y uu r ii
धर्मकोट 1.0	dh a r m a k oo tx
दर्शनों 1.0	d a r sh a n oo q
रेतीले 1.0	r ee t ii l ee
पाइराइट 1.0	p aa i r aa i tx
मत्स्यपुराण 1.0	m a t s y a p u r aa nx
व्लादिमीर 1.0	w l aa d i m ii r
अन्तर्गत 1.0	a n t a r g a t
इलेक्ट्रीशियन 1.0	i l ee k tx r ii sh i y a n
खरौड़ 1.0	kh a r ou dxq
डीडीए 1.0	dx ii dx ii ee
गलाने 1.0	g a l aa n ee
स्वार्थ 1.0	s w aa r th
ओपिनियन 1.0	oo p i n i y a n
दिवाकर 1.0	d i w aa k a r
मुहद्दीनपुर 1.0	m u h a d d ii n p u r
धुआँ 1.0	dh u aa mq
हुजुम 1.0	h u j u m
डाइटिंग 1.0	dx aa i tx i q g
चिया 1.0	c i y aa
अदभूत 1.0	a d bh uu t
बिगडै़ल 1.0	b i g dx ei nk l
चौहानों 1.0	c ou h aa n oo q
भटट 1.0	bh a tx a tx
कारबुरेटेड 1.0	k aa r b u r ee tx ee dx
भ्रूणहत्या 1.0	bh r uu nx h a t y aa
लैकिन 1.0	l ei k i n
उच्चायुक्त 1.0	u c c aa y u k t
सायबर 1.0	s aa y b a r
खेमनेई 1.0	kh ee m n ee ii
याप 1.0	y aa p
बीसीसीएल 1.0	b ii s ii s ii ee l
वल्लभ 1.0	w a l l a bh
डॉक्टर 1.0	dx ax k tx a r
सिंहला 1.0	s i q h a l aa
सेबी 1.0	s ee b ii
चाबी 1.0	c aa b ii
मलेशियन 1.0	m a l ee sh i y a n
कनियार 1.0	k a n i y aa r
मारक 1.0	m aa r a k
सेलूट 1.0	s ee l uu tx
व्युत्पन्न 1.0	w y u t p a n n
उल 1.0	u l
सैंकडों 1.0	s ei q k a dx oo q
चंदीला 1.0	c a q d ii l aa
स्थिराकृति 1.0	s th i r aa k rq t i
खंजरीट 1.0	kh a q j a r ii tx
पारिश्रमिक 1.0	p aa r i sh r a m i k
देयक 1.0	d ee y a k
विक्रेताओं 1.0	w i k r ee t aa oo q
कस्बाई 1.0	k a s b aa ii
सुहाती 1.0	s u h aa t ii
शरारत 1.0	sh a r aa r a t
उपविभाजित 1.0	u p a w i bh aa j i t
रेग्यूलेशन्स 1.0	r ee g y uu l ee sh a n s
कामगारों 1.0	k aa m g aa r oo q
छुहारे 1.0	ch u h aa r ee
जगदलपुर 1.0	j a g d a l p u r
रणनीतिकारों 1.0	r a nx n ii t i k aa r oo q
जातकालंकार 1.0	j aa t k aa l a q k aa r
कानूनगो 1.0	k aa n uu n g oo
रेवाड़ीनारनौल 1.0	r ee w aa dxq ii n aa r n ou l
नारायणी 1.0	n aa r aa y nx ii
रूपेण 1.0	r uu p ee nx
धुएँ 1.0	dh u ee mq
चौगारामास 1.0	c ou g aa r aa m aa s
जैवएथेनॉल 1.0	j ei w a ee th ee n ax l
ओएलएक्स 1.0	oo ee l a ee k s
लिउबोव 1.0	l i u b oo w
अजितेश 1.0	a j i t ee sh
आईसीजे 1.0	aa ii s ii j ee
हाला 1.0	h aa l aa
ऊं 1.0	uu q
थेको 1.0	th ee k oo
मशीनों 1.0	m a sh ii n oo q
पीएं 1.0	p ii ee q
गाइडें 1.0	g aa i dx ee q
झुकी 1.0	jh u k ii
माकन 1.0	m aa k a n
अंसल 1.0	a q s a l
कंसल्टिंग 1.0	k a q s a l tx i q g
एडेन 1.0	ee dx ee n
सेलेक्शन 1.0	s ee l ee k sh a n
हथेलियाँ 1.0	h a th ee l i y aa mq
स्वतः 1.0	s w t a hq
सड़के 1.0	s a dxq k ee
मायोंग 1.0	m aa y oo q g
सदीक 1.0	s a d ii k
नाथनगर 1.0	n aa th a n g a r
यत्न 1.0	y a t n
बाक़ूरा 1.0	b aa kq uu r aa
कमीषन 1.0	k a m ii sx a n
ओक्टोबर 1.0	oo k tx oo b a r
सेलिब्रेशन 1.0	s ee l i b r ee sh a n
आया 1.0	aa y aa
भाषाई 1.0	bh aa sx aa ii
संरचनात्मक 1.0	s a q r a c n aa t m a k
बांदा 1.0	b aa q d aa
वॉकर 1.0	w ax k a r
प्रजीवाणुओं 1.0	p r j ii w aa nx u oo q
जमानती 1.0	j a m aa n t ii
टोस्काना 1.0	tx oo s k aa n aa
कुर्ते 1.0	k u r t ee
दोपहिया 1.0	d oo p h i y aa
हृदय 1.0	h rq d a y
उदासीन 1.0	u d aa s ii n
विस्काउंट 1.0	w i s k aa u q tx
सुरसा 1.0	s u r s aa
महाकुम्भ 1.0	m a h aa k u m bh
तर्कु 1.0	t a r k u
दैवी 1.0	d ei w ii
अड़चन 1.0	a dxq c a n
जीएसएलवी 1.0	j ii ee s a ee l w ii
स्मार्ट 1.0	s m aa r tx
चिकने 1.0	c i k n ee
विडियोज 1.0	w i dx i y oo j
नारायणभारत 1.0	n aa r aa y nx a bh aa r a t
बिन्दू 1.0	b i n d uu
रत्नत्रय 1.0	r a t n a t r a y
रूढि़वादी 1.0	r uu dxh i nk w aa d ii
